စဉ်,နိုင်ငံ,စုစုပေါင်းကူးစက်ဖြစ်စဉ်,ထပ်မံကူးစက်မှုဖြစ်စဉ်,စုစုပေါင်းသေဆုံးမှု,ထပ်မံသေဆုံးမှု,ရောဂါပျောက်ကင်းမှု,လက်ရှိကူးစက်ထားမှု,စိုးရိမ်ရသောအခြေအနေ,ဖြစ်ပွားရာဒေသများ
၄၇,ရုရှ,၁၅,၀,၀,၀,၃,၁၂,၀,ဥရောပ
၄၆,အီကွေဒေါ,၁၄,၁,၀,၀,၀,၁၄,၁,တောင်အမေရိက
၄၉,ဂျော်ဂျီယာ,၁၃,၀,၀,၀,၀,၁၃,၀,ဥရောပ
၅၂,ရိုမေးနီးယား,၁၃,၀,၀,၀,၃,၁၀,၀,ဥရောပ
၄၈,ခရိုအေးရှား,၁၂,၁,၀,၀,၀,၁၂,၀,ဥရောပ
၅၀,ကာတာ,၁၂,၀,၀,၀,၀,၁၂,၀,အရှေ့အလယ်ပိုင်း
၅၁,စလိုဗီနီးယား,၁၂,၀,၀,၀,၀,၁၂,၀,ဥရောပ
၅၇,ဆော်ဒီအာရေးဗီးယား,၁၁,၄,၀,၀,၁,၁၀,၀,အရှေ့အလယ်ပိုင်း
၅၃,မကာအို,၁၀,၀,၀,၀,၁၀,၀,၀,အာရှ
၅၄,အက်စတိုးနီးယား,၁၀,၀,၀,၀,၀,၁၀,၀,ဘော်တစ်
၅၆,အာဂျင်တီးနား,၉,၀,၁,၀,၀,၈,၀,တောင်အမေရိက
၅၅,အဇာဘိုင်ဂျန်,၉,၀,၀,၀,၀,၉,၀,ဥရောပ
၆၂,ပိုလန်,၈,၂,၀,၀,၀,၈,၀,ဥရောပ
၆၀,မက်ဆီကို,၇,၁,၀,၀,၁,၆,၀,မြောက်အမေရိက
၆၄,ချီလီ,၇,၀,၀,၀,၀,၇,၀,တောင်အမေရိက
၆၅,ဟန်ဂေရီ,၇,၂,၀,၀,၀,၇,၀,ဥရောပ
၅၈,ဖိလစ်ပိုင်,၆,၀,၁,၀,၂,၃,၁,အရှေ့တောင်အာရှ
၅၉,ဘီလာရု,၆,၀,၀,၀,၀,၆,၀,ဥရောပ
၆၇,အင်ဒိုနီးရှား,၆,၂,၀,၀,၀,၆,၀,အရှေ့တောင်အာရှ
၆၁,ပါကစ္စတန်,၆,၀,၀,၀,၁,၅,၀,အရှေ့အလယ်ပိုင်း
