68,Australia,7320,+18,102,,6838,380,3,287,4,1812353,71112,25486034
69,Sudan,7220,+213,459,+12,2610,4151,,165,10,401,9,43794886
70,Finland,7104,+17,326,+1,6200,578,1,1282,59,219500,39618,5540362
71,Nepal,5760,+425,19,+1,974,4767,,198,0.7,344098,11820,29110501
72,Senegal,5090,+94,60,,3344,1686,23,304,4,59008,3529,16719762
73,Ivory Coast,5084,+236,45,,2505,2534,,193,2,36783,1396,26343075
74,Uzbekistan,5080,+114,19,,3943,1118,16,152,0.6,748555,22381,33445758
75,Tajikistan,5035,+64,50,,3409,1576,,529,5,,,9526372
76,DRC,4778,+54,107,+1,600,4071,,53,1,,,89406115
77,Guinea,4532,+48,25,,3234,1273,24,346,2,14407,1099,13113133
78,Djibouti,4465,+16,43,+2,2950,1472,,4522,44,40855,41380,987305
79,Haiti,4165,+224,70,+6,24,4071,,365,6,8488,745,11395978
80,Luxembourg,4070,+7,110,,3929,31,,6507,176,106604,170437,625476
81,Hungary,4069,+5,562,+3,2482,1025,20,421,58,233742,24194,9661322
82,North Macedonia,4057,+162,188,+9,1710,2159,34,1947,90,43040,20659,2083377
83,El Salvador,3720,+117,72,,1837,1811,137,574,11,123360,19023,6484784
84,Kenya,3594,+137,103,+3,1253,2238,7,67,2,112171,2088,53709247
85,Gabon,3463,,23,,1024,2416,17,1558,10,19517,8780,2222938
86,Ethiopia,3345,+179,57,+2,545,2743,30,29,0.5,181349,1580,114810125
87,Bulgaria,3290,+24,174,+2,1730,1386,15,473,25,104486,15033,6950385
88,Thailand,3135,+1,58,,2987,90,1,45,0.8,468175,6708,69792603
89,Greece,3121,+9,183,,1374,1564,13,299,18,250923,24069,10425009
90,Venezuela,2904,,24,,487,2393,1,102,0.8,1066791,37511,28439116
91,Bosnia and Herzegovina,2893,,163,,2119,611,4,882,50,75171,22907,3281589
92,Somalia,2618,+39,88,+1,577,1953,2,165,6,,,15868557
93,Mayotte,2298,+16,29,+1,1790,479,12,8434,106,8800,32298,272463
94,Kyrgyzstan,2285,+78,27,,1791,467,11,351,4,150612,23104,6518877
95,Croatia,2252,+1,107,,2134,11,,548,26,70110,17074,4106223
96,Cuba,2248,+10,84,,1948,216,5,198,7,133763,11809,11326896
97,CAR,2057,,7,,363,1687,2,426,1,18921,3921,4825579
98,Maldives,2035,+22,8,,1311,716,9,3768,15,28940,53586,540068
99,Estonia,1973,,69,,1705,199,,1487,52,95997,72369,1326498
100,Sri Lanka,1889,+5,11,,1287,591,1,88,0.5,85967,4015,21409391
101,Iceland,1810,+2,10,,1796,4,,5306,29,63184,185212,341145
102,Mali,1809,+33,104,,1088,617,,89,5,3483,172,20218092
103,Mauritania,1783,+101,87,+4,332,1364,25,384,19,13842,2981,4642969
104,Lithuania,1768,+5,75,,1427,266,17,649,28,363528,133474,2723580
105,Costa Rica,1715,+53,12,,752,951,3,337,2,32262,6336,5092001
106,South Sudan,1693,,27,,49,1617,,151,2,3356,300,11187573
107,Slovakia,1548,+3,28,,1410,110,,284,5,196723,36033,5459533
108,Albania,1521,+57,36,,1044,441,7,529,13,18250,6341,2877924
109,New Zealand,1504,,22,,1482,0,,301,4,310297,62033,5002100
110,Slovenia,1495,+3,109,,1359,27,,719,52,88754,42692,2078926
111,Nicaragua,1464,,55,,953,456,,221,8,,,6620852
112,Guinea-Bissau,1460,,15,,153,1292,5,743,8,1500,763,1965523
113,Lebanon,1446,+4,32,,868,546,8,212,5,106149,15549,6826625
114,Zambia,1358,+1,11,+1,1122,225,1,74,0.6,44126,2404,18355284
115,Equatorial Guinea,1306,,12,,200,1094,,933,9,8268,5904,1400292
116,Paraguay,1289,+28,11,,650,628,2,181,2,48081,6745,7128405
117,Madagascar,1272,+20,10,,367,895,9,46,0.4,15756,570,27652285
118,French Guiana,1255,+94,3,+1,534,718,6,4208,10,277,929,298260
119,Sierra Leone,1169,+37,51,,680,438,,147,6,,,7968634
120,Hong Kong,1110,,4,,1067,39,3,148,0.5,241992,32290,7494245
121,Latvia,1097,,28,,845,224,1,581,15,127450,67543,1886936
122,Tunisia,1096,+2,49,,998,49,,93,4,59887,5070,11812904
123,Cyprus,983,+3,18,,807,158,4,814,15,141378,117135,1206967
124,Niger,980,,66,,885,29,,41,3,6289,260,24153770
125,Jordan,961,+8,9,,682,270,3,94,0.9,275480,27012,10198481
126,Burkina Faso,894,+2,53,,799,42,,43,3,,,20871541
127,Georgia,864,+13,14,,703,147,6,217,4,75918,19030,3989472
128,Andorra,853,,51,,781,21,8,11041,660,3750,48537,77260
129,Chad,850,+2,73,+1,720,57,,52,4,,,16399435
130,Uruguay,848,+1,23,,788,37,3,244,7,53265,15336,3473217
131,Cabo Verde,750,+24,6,,301,443,,1350,11,1307,2352,555707
132,Yemen,728,+23,164,+4,53,511,,24,6,120,4,29791553
133,Congo,728,,24,,221,483,,132,4,,,5510779
134,Diamond Princess,712,,13,,651,48,4,,,,,
135,Uganda,696,+2,,,240,456,,15,,145768,3193,45657659
136,San Marino,694,,42,,520,132,1,20455,1238,5238,154386,33928
137,Sao Tome and Principe,661,+2,12,,177,472,,3019,55,1462,6677,218953
138,Malta,649,+3,9,,603,37,1,1470,20,82263,186329,441493
139,Jamaica,615,+1,10,,420,185,2,208,3,16347,5521,2960610
140,Mozambique,583,+30,3,+1,151,429,,19,0.10,18620,597,31206667
141,Rwanda,582,+41,2,,332,248,,45,0.2,91151,7047,12934912
142,Channel Islands,565,,48,,512,5,,3251,276,10255,59008,173790
143,Malawi,547,+18,6,+1,69,472,4,29,0.3,8351,437,19103020
144,Togo,530,,13,,291,226,1,64,2,25401,3072,8268410
145,Tanzania,509,,21,,183,305,7,9,0.4,,,59639016
146,Réunion,495,+6,1,,460,34,2,553,1,17200,19217,895028
147,Palestine,492,+3,3,,415,74,,97,0.6,44876,8808,5095122
148,Eswatini,490,+4,4,+1,249,237,5,423,3,6551,5649,1159610
149,Liberia,458,+12,32,,219,207,,91,6,,,5051358
150,Libya,454,+36,10,+2,63,381,,66,1,12867,1874,6866820
151,Taiwan,443,,7,,431,5,,19,0.3,73751,3097,23814975
152,Benin,442,+30,6,,228,208,2,37,0.5,45918,3793,12105838
153,Zimbabwe,383,+27,4,,54,325,,26,0.3,52905,3562,14852459
154,Mauritius,337,,10,,325,2,,265,8,137789,108352,1271680
155,Isle of Man,336,,24,,312,0,,3952,282,5484,64508,85013
156,Vietnam,334,,,,323,11,1,3,,275000,2826,97298775
157,Montenegro,325,+1,9,,315,1,,517,14,13186,20995,628063
158,Myanmar,261,,6,,167,88,,5,0.1,49729,914,54393656
159,Suriname,208,+12,3,,9,196,2,355,5,1165,1987,586393
160,Martinique,202,,14,,98,90,,538,37,,,375277
161,Mongolia,197,,,,98,99,11,60,,17899,5464,3275693
162,Cayman Islands,187,,1,,115,71,,2847,15,17227,262263,65686
163,Faeroe Islands,187,,,,187,0,,3828,,11002,225197,48855
164,Syria,177,+7,6,,74,97,,10,0.3,,,17477859
165,Comoros,176,,2,,114,60,,203,2,,,868638
166,Gibraltar,176,,,,173,3,,5224,,10104,299902,33691
167,Guadeloupe,171,,14,,157,0,,427,35,5691,14223,400121
168,Guyana,159,,12,,99,48,1,202,15,1959,2491,786388
169,Bermuda,142,,9,,127,6,2,2280,144,8430,135341,62287
170,Brunei,141,,2,,138,1,1,322,5,24131,55183,437287
171,Angola,140,+2,6,,61,73,1,4,0.2,10000,305,32807558
172,Cambodia,128,+2,,,125,3,1,8,,27274,1632,16707861
173,Trinidad and Tobago,123,+6,8,,109,6,,88,6,3995,2855,1399295
174,Bahamas,103,,11,,68,24,1,262,28,2261,5752,393072
175,Aruba,101,,3,,98,0,,946,28,2220,20797,106747
176,Monaco,99,,4,,93,2,,2524,102,16200,412949,39230
177,Barbados,96,,7,,83,6,1,334,24,6558,22822,287360
178,Eritrea,96,+31,,,39,57,,27,,,,3544066
179,Burundi,85,,1,,45,39,,7,0.08,382,32,11870710
180,Liechtenstein,82,,1,,55,26,,2151,26,900,23608,38123
181,Sint Maarten,77,,15,,61,1,1,1797,350,471,10991,42853
182,Bhutan,66,+4,,,21,45,,86,,20731,26881,771213
183,Botswana,60,,1,,24,35,1,26,0.4,26800,11408,2349187
184,French Polynesia,60,,,,60,0,,214,,4262,15176,280837
185,Macao,45,,,,45,0,,69,,,,648911
186,Saint Martin,42,,3,,36,3,1,1087,78,685,17731,38633
187,Namibia,32,,,,17,15,1,13,,5682,2238,2538592
188,Gambia,28,,1,,24,3,,12,0.4,1970,816,2412884
189,St. Vincent Grenadines,27,,,,25,2,,243,,643,5797,110925
190,Antigua and Barbuda,26,,3,,20,3,1,266,31,489,4995,97892
191,Timor-Leste,24,,,,24,0,,18,,1568,1190,1317170
192,Grenada,23,,,,22,1,1,204,,4130,36711,112500
193,Curaçao,22,,1,,15,6,,134,6,1080,6583,164064
194,New Caledonia,21,,,,20,1,,74,,7582,26569,285372
195,Belize,20,,2,,16,2,,50,5,1776,4471,397265
196,Laos,19,,,,19,0,,3,,10146,1396,7270456
197,Saint Lucia,19,,,,18,1,,103,,1264,6885,183591
198,Dominica,18,,,,16,2,,250,,534,7419,71978
199,Fiji,18,,,,18,0,,20,,2431,2713,896156
200,Saint Kitts and Nevis,15,,,,15,0,,282,,417,7841,53182
201,Falkland Islands,13,,,,13,0,,3742,,671,193149,3474
202,Greenland,13,,,,13,0,,229,,2511,44234,56766
203,Turks and Caicos,12,,1,,11,0,,310,26,245,6332,38692
204,Vatican City,12,,,,12,0,,14981,,,,801
205,Montserrat,11,,1,,10,0,,2204,200,61,12220,4992
206,Seychelles,11,,,,11,0,,112,,,,98320
207,MS Zaandam,9,,2,,,7,,,,,,
208,Western Sahara,9,,1,,8,0,,15,2,,,596549
209,British Virgin Islands,8,,1,,7,0,,265,33,212,7015,30222
210,Papua New Guinea,8,,,,8,0,,0.9,,5281,591,8938429
211,Caribbean Netherlands,7,,,,7,0,,267,,424,16176,26212
212,St. Barth,6,,,,6,0,,608,,152,15391,9876
213,Lesotho,4,,,,2,2,,2,,1515,707,2141487
214,Anguilla,3,,,,3,0,,200,,93,6201,14997
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5795
